category,title,rank,solutions
Sündimus,Eesti leibkondadest suurima osa moodustavad ühe lapsega pered,5,
Sündimus,Pere loomist lükatakse edasi ja nii esimene kui ka järgmised lapsed sünnivad üha hiljem,14,"Uuenenud emaduse olemuse uurimine (nt. rollid, mentaliteet, naiste vaatenurk).
Lastetusmaksu kehtestamine. 
Kommunikatsioon ja tööandjate-töövõtjate teavitamine erinevatest võimalustest töö- ja pereelu ühildamisel nagu paindlik tööaeg, kodus saavad olla nii ema kui isa, kaugtöö võimalus, kontakti hoidmine tööandja ja LHP oleva töövõtja vahel. "
Sündimus,Vanematel on keeruline ühildada töö- ja pereelu,20,"Avalikes/vaba aja veetmise kohtades lapse mängu- ja hoiukohtade loomine. 
Mõistlik ja arusaaja tööandja loob töökohtade juurde lastehoiukohad. 
Koostöös riigiga muuta tööandjate suhtumine töösse ja tööaega paindlikumaks (mh kaugtöö, toetavad teenused, perekeskne lähenemine töökohal). 
Väikeste lastega pered ja osaajaga töötamine: a) rakendada madalamat sotsiaalmaksu lapsega kodus olnud vanema hõivamisel, b) ettevõtete tunnustamine, kus töötab palju väikeste laste vanemaid (positiivsed näited ja lahendused), c) lapsehoiu korraldamine ettevõtetes, kasvõi 1 päev nädalas, d) pikendada tervisekindlustust vanematele, kes valivad lapse kasvatamise tööl käimise asemel. 
Reaalsed ja pikajalised eesmärgid: lähenda probleemile teadmispõhiselt - kaardistada vajadused, huvipoolte kaardistamine, kasuta suurandmeid, kasuta paremaid praktikaid, kaasata teenusedisainer.
Väikelastega perede toetamine: tööandja paindlikkus, vöimalus töötada osa-ajaga ja/vöi kodukontoris; kompenseeritud/koolitatud lapsehoidjad ja lastehoiud. 
(Veeb) Vanavanemapalk: riik maksab soovi korral lasteaialapse pearaha lapse vanaemale/vanaisale kui ta on nõus olema oma lapselapsele lastehoiuks. Kui on rohkem lapselapsi, võimaldab see vanavanemalt töölt ära tulla ja pühenduda lapselastele.
Väikelaste ema loob endale ise osalise ajaga töökoha: noortele emadele suunatud ettevõtlustoetus ja maksusoodustus. 
Pikem akadeemilise puhkuse võimalus. "
Sündimus,Lasterikkus asetab pered kehvemasse majanduslikku olukorda,12,"Süsteem, mis aitaks lihtsustada perekondadele vajaliku eluaseme soetamist ja parandada transpordivõimalusi. 
Iga inimese riik!: igale Eesti kodanikule hääleõigus sünnist surmani, mis annab suurtele peredele rohkem häälekaalu.
Mitte-formaalne haridus massidesse: mitteformaalne haridus peab jõudma lapseni, mitte laps hariduseni.
Perepalneerimisega seotud maksusoodustused (beebitoit; mähkmed; vahendid). 
Palgakoefitsent iga lapse puhul. 
Toetused: eluaseme soetamiseks ja tasuta algharidus.
Äpp, mis aitaks lapsevanematel sooduspakkumiste  ja toetuste kohta infot leida.
(Veeb) Kodanikupalk igale Eesti Vabariigi kodakondsusega isikule alates sünnist vähemalt sellises määras, et see kataks tavapärased kulutused ühele lapsele (hinnanguliselt 300 eurot kuus aastal 2018) koos seda toetava maksusüsteemiga (samuti kodanikele) ning koostoimes vajaduspõhise eluasemepoliitikaga, mis lähtub laste arvust perekonnas. 
Lasterikaste perede laste elamistingimuste parandamine: majanduslikult ebakindlate perede koolitused rahaplaneerimise teemal + vajaduspõhised toetused. Toetuste sidumine koolitustega. "
Sündimus,Peredel puudub piisav tugi- ja muude teenuste võrgustik,9,"One Stop Shop ANNA: lapsevanemale (ka neile, kes plaanivad lapsi saada või Eestisse tagasi tulla) kogu info ja teenused (tellimine, tugimaterjalid) ühest kohast. 
Muuta paindlik töö ühiskonna loomulikuks osaks: sh tööandjate koolitamine, et nad oskaks hinnata lastega vanemate oskusi ja motiveeritust ning leida võimalusi paindlikuks graafikuks; lastele õpetatakse, et nii ema kui isa on võrdselt vanemad ja töötajad.
Ihaste Äratus: kogukonna aktiivsemad hakkavad korraldama ühisüritusi, suhtlusring laieneb pidevalt, otsese suhtluse teel avanevad võimalused, ilmnevad murekohad ja lahenevad probleemid koostöös omavalitsusega. 
Paindlik töösuhe lapsevanematele: seadusandlik muudatus, mis tagab lapsevanemale võimaluse töötada paindlikult, osalise tööajaga. Aja möödudes koormust suurendades ja tööandjal puuduks õigust sellest keelduda."
Sündimus,Võimalused laste kasvatamiseks sobiva elukeskkonna kujundamiseks on paikkonniti erinevad,9,"Kehtestada kodanikupalk (lahendab vaesuse ja ebavõrdsuse probleeme). 
Lõpetada lihtsustav lähenemine poliitikakujundamises, kus Tallinn ja väikealevid on võrdsed. 
Koduehitamise mudel puust ja punaseks: noor pere saab toetuse ja juhised lihtsa maja ehitamiseks maapiirkonda, sh mis maksab, kust saab materjali, ehistuspartnerid ja kogukondliku abi, et noored ei kardaks maal pereelu ilma laenukoormuseta alustada. 
Huvitakso E- süsteem:  vajaduste  ja võimaluste kaardistamine (kellel vaja sõita kuhu), huvitakso käivitamine (autopartner), huvitakso fondi käivitamine (panustab KOV, riik, ettevõtjad, eraisikud). 
Noore elu maal: vald aitab soetada kodu (intressivaba laen), leida ettevõtluseks sobiva pinna (tehes soodustusi) ja kui on töö/kodu, tulevad ka lapsed. 
Ühes Hingamine: luua ühtselt koos töötav ja koos käiv kohalik kogukond.
(Veeb) Iga laps Eestis olgu kullahinnas: lastetoetuste märkimisväärne tõus (1.laps 100€ kuus, 2.laps 200€, 3.laps 300€ kuus, 4.laps 400€). Neljalapselise pere riigipoolne toetus olgu Eestis 1000€ kuus. "
Sündimus,"Pereväärtused on muutunud, puuduvad traditsioonid",1,
Sündimus,"Rahulolematus paarisuhtega on üks põhjustest, miks naised ei julge rohkem lapsi saada",7,"Lastevanemate koolitused kooli kaudu, paarisuhte koolitused (45+ ja 25+), perepäevad, töökasvatus - koduste tegemiste jagamine lastega, teemade tõstatamine paralleelselt."
Sündimus,Vanemlus ei ole süsteemselt ja piisavalt toetatud,3,"Lastevanemate suhtumine: parandada lastevanemate teadlikkust sellest, kuidas suunata lapsi/noori (sh haridussüsteemis töötavate inimeste koolitamine). "
Sündimus,Isade roll laste kasvatamisel on alatähtsustatud,2,"Konkurentsivõimeline palk: kõrgema palgaga töökohtade tagamine, sh uute töökohtade loomine maapiirkonnas, et isad ei peaks kodust eemal tööd otsima. 
(Veeb) Perekonnaseaduse aluspõhimõtete muutmine - lahutuse järgne jagatud vastutus peab tulema praeguse rahakeskse mudeli asemele. Raha on oluline aga ei asenda vanema vahetut hoolt ja armastust. 90% lahusvanemaid on isad, kellest enamus ei ole rongavanemad. Perekonnaseadus käsitleb lahutanuid karistavas võtmes."
